author,comment,voteCount,replyCount,channel,country
@user-un9cs7vq7g,"Alle menschen die normal im kopf sind , sind in dem kriegsfall auf Palästinensischer seite .  Da aber sofort die ""antisemitismus keule"" kommt traut sich kaum einer was dazu zu sagen .  Israel gehört verklagt und nach den Haag geschlept!",0,0,ZDFheuteNachrichten,Germany
@dwaynejohnson5451,Diese ganzen Untermenschen ob die oder die Seite einfach eine Gefahr für andere zivilisierte Länder !!!,0,0,ZDFheuteNachrichten,Germany
@yowifeinmydm1609,"Ich kann einfach unter dieser Bewegungen nur einen vertieften Hass gegenüber Israel und Juden sehen. Es interessiert keinen was sonst international für Völkermorde geschehen, in den letzten Jahren gab es da Beispiele mit viel höheren Todesopfern teilweise von Ländern die hier am lautesten schreien. Finde ich krass das bei Israel, so ein Doppelstandard herrscht und sich ganze Communities gezwungen fühlen das zu verurteilen. Auf jeden fall geht es nicht um das Leid der Zivilsten, sonst würde man sich auch um andere Menschen einsetzen.",0,0,ZDFheuteNachrichten,Germany
@mane4209,I swear the Israeli representative sounds like Sergey Lavrov did last year.,0,0,ZDFheuteNachrichten,Germany
@palastina21freeepalestine35,,0,2,ZDFheuteNachrichten,Germany
@palastina21freeepalestine35,"Diese Prüfung hat wahres Gesicht zeigen lies, Masken sind ab. So gehen diese in die Geschichtsbücher, wer  echte Humane ist und wer nennt sich nur so",0,0,ZDFheuteNachrichten,Germany
@peterm5187,"Was passiert, wenn die Hamas ihre Waffen niederlegt? Nichts
Was passiert, wenn Israel ihre Waffen niederlegt? Sie werden von der Hamas abgeschlachtet.
Wer da den Unterschied nicht sieht, ist blind oder antisemitisch.",1,1,ZDFheuteNachrichten,Germany
@hermannfahle9237,"durch Essen laufen 3000 Demonstranten und fordern das Kalifat. Man stelle sich vor, in Chemnitz laufen nur 3 Neonazis durch die Stadt und fordern irgendeine Sülze.",1,0,ZDFheuteNachrichten,Germany
@user-pr3pk3bx1h,"Das deutsche Strafgesetzbuch §130 Volksverhetzung kann als jüdische Unterwerfung bezeichnet werden.
könnte man es als Fluch bezeichnen.
Tatsächlich gibt es weltweit Anti-Israel-Demonstrationen, aber Deutschland unterstützt Israel konsequent.
Deutschland kann nichts gegen die grausamen Handlungen Israels sagen.
Wenn man sich äußert, wird man als ""antisemitisch"" beschimpft und als Verbrecher dargestellt.
Dies ist auch in Deutschland ein großes Problem.
Dieses Gesetz hat den Deutschen das Recht auf Meinungsäußerung über Juden genommen und die Deutschen unterworfen.
Die Regulierung der Meinungsfreiheit ist primitiv und abscheulich.
Außerdem weiß jeder, dass sie einer gründlichen Gehirnwäsche unterzogen wurden.
Ich hoffe, dass Deutschland bald von den Juden befreit wird.",0,1,ZDFheuteNachrichten,Germany
@sawekoszczygiel5576,und WEG mit diesen islamisten die Verachten unsere Gesetze und Werte hemmungslos ... Es wird Nicht Gut gehen so Weiter ! die Nachbar die Mitbürger haben Angst um Ihr Leben ..und selber geholt  diese  Pathologie  ins Land ;noch helfen Enorm dafür Kriminalität und Gewaltbereitchaft weiter Akute Neue Höchststande ! Es fängt  analogisch wie früher mit Massiven Hass auf Juden dann Unterwegs weitere Tausende radikale moslemgebrüder mit allachakbar logo zu Verstärkung als politisch verfolgte flüchtlinge Jeder unschuldig wie sonst und eines Tages ...Explodiert diese hamasbande Richtig in Deutschland ..! unsere nächste Generationen vererben das Land vollgestopft mit unintegrierten Parallelgeselschaften mit dzihad infizierten Traumen es geht so nicht,0,0,ZDFheuteNachrichten,Germany
@Pandahh579,"Israelische Medien haben zugegeben,dass am 07.10 Israelische Zivilisten von israelischen Armee getötet worden seien",0,1,ZDFheuteNachrichten,Germany
@khaledsleiman3202,Fast die ganze Welt kritisiert Israel verständlicherweise. 13000 Tore in 40 Tagen darunter viele Kinder. Nur unsere herzlose versklavte Regierung kann und will das einfach nicht verstehen.,0,0,ZDFheuteNachrichten,Germany
@user-tc7lt5yu7z,"Alleine die Einleitung ""Doch in den letzten Jahren wird die Instution ihrer eigentlichen  Aufgabe nicht mehr gerecht"" - seid wann, seit dem sich die Stimmen gegen Israel erheben, oder war es als es den Veto Mächten aufgefallen ist, dass man andere Veto Mächte mit der UN nicht verurteilen kann ? Heuchlerei wird mittlerweile auf ein ganz anderes Niveau gehoben. Was ebenfalls sehr interessant ist, dass man von muslimen grundsätzlich erwartet den Hamas Terror zu verurteilen, aber kein Politiker und auch kein Journalist kann hierbei die tausende Tote die Israel verursacht verurteilen. Ich denke man müsste ersteinmal anfangen auf einer Ebene zu kommunizieren, bevor irgendeine Seite der anderen Seite Forderungen stellt. Ihr wollt eine UN, dann braucht es eine UN ohne Veto-Mächte = Konsens-System bzw. Mehrheitssystem und Punkt, solange 5 Nationen alles blockieren können, hat das ganze grundsätzlich keinen Sinn.",0,0,ZDFheuteNachrichten,Germany
@nachomacho7027,"Apartheid war gut, man sieht ja was danach passiert ist... Südafrika hat jede Chance auf Besserung verspielt es geht ihnen heute viel schlechter als damals.",0,0,ZDFheuteNachrichten,Germany
@surfbis,"Es ist schon merkwürdig dass in den USA Manhattan mit den Wolkenkratzern gezeigt wird, aber in Südafrika und Indien nur die Armenviertel. Rassismus in Bildern ?",0,0,ZDFheuteNachrichten,Germany
@budhill1516,"Die arabische Welt wollen, free Palästina. 
Länder, die 
-	keine Menschenrechte, 
-	keine Meinungsfreiheit, 
-	keine Pressefreiheit 
-	keine Völkerrechte einhält
-	als auch keine Demokratie kennen. 

Länder, die Ihr Volk selbst massiv unterdrücken, reden über Free Palästina. Finde den Fehler... ❓❓❓ 
-	Free Afghanistan       (UN Mitglied) 
-	Free China                (UN Mitglied)
-	Free Iran                  (UN Mitglied)
-	Free Irak                   (UN Mitglied)
-	Free Syrien                (UN Mitglied)
-	Free Saudi-Arabien      (UN Mitglied)
-	Free Katar                   (UN Mitglied)
-	Free Bahrain                (UN Mitglied)
-	Free Jemen                  (UN Mitglied)
-	Free Nordkorea            (UN Mitglied)
-	Free Russland              (UN Mitglied)
-	Free Belarus                (UN Mitglied)
Free+ 120 Länder. Somit hat das Wort ""Free"" in der arabischen Welt und in vielen anderen Länder, keine Bedeutung. 
Palästina wird nie frei sein. Wenn Israel raus ist, baut wahrscheinlich Saudi-Arabien das Kriegsgebiet wieder auf und was wird aus dem Land?? --- eine Diktatur. Also wird Gaza nie frei sein. 
Nenn mir ein moslemisches Land, was Frei ist?? Also warum soll es bei dem Palästina (nach dem Krieg) anders abgehen? Es gibt kein arabisches Land ohne Terroristen. Der Prophet Mohammed war schon damals ein Kriegstreiber. Warum sollen die Anhänger heute anders sein?
Es gibt nur ca. 50 Länder von 197 Länder auf der Erde, die das Wort, (Free) bzgl., eines Volkes verwenden dürfen. Die jetzige Tötung von Frauen und Kinder in Gaza hat die arabische Welt zu verantworten. Warum nimmt man das Brudervolk nicht als Flüchtlinge auf?  Gaza hat 44 Milliarden Euro in den letzten 30 Jahre bekommen. Gaza verarscht die Welt als ewige Opfer, damit die Hilfsgelder laufen. In Deutschland leben schon so viele ""Flüchtlinge, Arbeitskräfte"" Terroristen, irgendwann kommt, Free Germany. Viele Auswanderer verachten die Deutsche (EU) Kultur und sprechen jedes Mal was für ein großartiges Land, sie herkommen. Aber warum wandern man aus, wenn das Herkunftsland so schön ist??? Warum leben so viele Moslime in christliche Länder aber kaum ein Christ in einen Moslemische Land? Die Frage stelle ich mir jedes Mal. Antwort, die 340 Millionen Christenverfolgung unteranderem auch in Moslemischen Länder. 
*Palästinenser Khaled Mashal, Privatvermögen, 5 Milliarden Dollar. 
*Palästinenser Ismail Haniyeh, Privatvermögen, 5 Milliarden Dollar 
* Palästinenser Mahmoud Addas, Privatvermögen, 2 Milliarden Dollar. 
So verarschen die als ewige Opfer, den Westen.

Wie sieht es mit Free Kurden aus? Ein Volk die in den moslemischen Ländern unterdrückt werden. 

Freie Welt, bye",1,2,ZDFheuteNachrichten,Germany
@XX-qc8wi,"Ach ja, die böse UN, die israelische Kriegsverbrechen verurteilt, die armen Inder, die Angst vor Terrorismus haben und definitiv keinen Islamhass, und natürlich der globale Süden, der nur aus geostrategischen Interessen solidarisch mit Palästina ist, weil Palästina ja so eine wichtige Großmacht ist, mit der es sich lohnt, opportunistische Bündnisse einzugehen. Ich liebe die deutsche Berichterstattung – immer wieder witzig",1,0,ZDFheuteNachrichten,Germany
@balkansahel3056,"jedes IMPERIUM bricht früher oder später zusammen, wenn es wie ISRAEL nur auf GEWALT, KRIEG, VÖLKERMORD gegründet ist...  das seinerzeit vom Westen um 1900 geplante GROSS-ISRAEL vom Schwarzmeer, Vorderasien/Seidenstraße bis tief nach Afrika ist krachend gescheitert, insbesondere konnten TÜRKEI und IRAN nicht vernichtet werden... Statt Groß-Israel gibt's die VEREINIGTEN TURK-STAATEN mit heute schon über 20 Mitgliedstaaten wie Ungarn oder Kasachstan... Selbst USA und EU haben das verstanden, pfeifen Israel zurück, setzen suf/finanzieren die Palästinenser... siehe erdrückende Mehrheit gegen Israel in der UN und Klartext Erdogan, dem dominanten Platzhirsch in Vorderasien... will Israel in den Grenzen von 1948 weiter existieren, muß es seinen verbrecherischen ANGRIFFSKRIEG sofort beenden, alle eroberten Gebiete räumen und alle UN-Resolutionen erfüllen, ändernfalls gilt das Bibelwort AUGE UM AUGE..",0,1,ZDFheuteNachrichten,Germany
@jayeff6712,"Der israelische Botschafter repräsentiert eine Regierung und ein Land, dass seit über 50 Jahren Palästinenser von besetztem Gebiet vertreibt und damit ein Kriegsverbrechen begeht. Gaza ist ein Freiluftgefängnis und Israel kontrolliert wer und was dort ein- und ausgeht, sowie Strom und Wasser nach belieben. Im Westjordanland wurde ein Apartheid-System eingerichtet, siehe https://www.youtube.com/watch?v=otOayJZ2W5E , und die Palästinenser werden auf immer kleinere Gebiete zusammengedrängt. Der Westen unterstützt Israel noch dabei und speziell wir Deutsch schauen nicht mal hin, wenn Israel mal wieder Gaza bombardiert. Wer in Deutschland Israel kritisiert ist sofort Antisemit. Wenn Israel Krankenhäuser angreift und hinterher eine handvoll Gewehre präsentiert, dann sind wir zufrieden. Es wird ja schon alles seine Richtigkeit haben. Und wenn die andere Seite ja so richtig böse ist, dann schauen wir bei israelischen Kriegverbrechen nicht so genau hin, weil Kriegsverbrechen von Terroristen ja viel schlimmer sind, als Kriegsverbrechen von eine sogenannten demokratischen Land.",0,0,ZDFheuteNachrichten,Germany
@ZDFheute,Wir haben die Kommentarfunktion für weitere Kommentare deaktiviert. Auf unserem Kanal findet ihr unsere tagesaktuellen Beiträge. Schaut dort gerne vorbei und diskutiert weiter mit!,0,0,ZDFheuteNachrichten,Germany
@user-jz7jp4jl8w,In China werden gerade alle Moscheen abgerissen.,0,0,ZDFheuteNachrichten,Germany
@user-jz7jp4jl8w,Ist der krieg beendet in gaza machen die aus Deutschland den abflug.,0,0,ZDFheuteNachrichten,Germany
@enes752_Science_of_Kingdom,"Die Welt gehört allein Allahs s.w.t Herrschaft. Unter der Parallelwelten gibt es auch, Politik, Naturwissenschaft und Religion. Wenn du aber in einem anderen Planet nicht lebst dann lebst du auf der Erde nicht richtig.",0,0,ZDFheuteNachrichten,Germany
@user-jz7jp4jl8w,Dummer schwäzer,0,0,ZDFheuteNachrichten,Germany
@user-jz7jp4jl8w,Und ich hoffe das du schleunigst mein land verlässt,0,0,ZDFheuteNachrichten,Germany
@hermannfahle9237,Genau,0,0,ZDFheuteNachrichten,Germany
@palastina21freeepalestine35," @user-jz7jp4jl8w  du willst dasxes nicht gibt. Aber es gibt viel zu viele Naachweise. Schau  z.B. die Bücher bis 1948 wird das Land als Palestina genannt. Moderne Eroberung der Imperialischen Mächte, sieht heute so aus, illegale Siedlungen, Gäste vernichten die Besitzer etc.",0,0,ZDFheuteNachrichten,Germany
@user-jz7jp4jl8w,Das land gibt es doch garnicht,0,0,ZDFheuteNachrichten,Germany
@bvblove8341,"Juden begehen Völkermord an die Palästinenser, Palästinenser verteidigen ihre Heimat..Seit 80 Jahren terrorisieren die weißen Juden die Palästinenser!Das ist die Wahrheit!!!Wie kann mann Terrorist sein wenn man sein eigenes Land verteidigt!!??",0,0,ZDFheuteNachrichten,Germany
@georgratio559,"Unrecht zu Recht verklären und Recht zu Unrecht,  dass ist unsere Zeit. 
Aber die Lüge kann nicht für ewig aufrecht erhalten werden. #FreePalastine",0,0,ZDFheuteNachrichten,Germany
@tonnygun7816,Israel ist der Sohn von Adolf Hitler das was ihn angetan wurde tut sie jetzt anderen an.,0,0,ZDFheuteNachrichten,Germany
@Ham-kd6xc,Der Krieg hat schon mit der Gründung des Staates Israels begonnen.,1,0,ZDFheuteNachrichten,Germany
@Nordanatolier55,"Es ist richtig die israelische Regierung für ihr Massaker an der palästinensischen Zivilbevölkerung zu kritisieren. Das hat nichts mehr mit Selbstverteidigung zu tun, sondern mit Auslöschen. Israel verstößt seit Jahrzehnten gegen Menschen- und Völkerrecht. Es wird Zeit, dass sie aufhören, das Land der Palästinenser zu besetzen.",0,0,ZDFheuteNachrichten,Germany
@ydjbdhjeje7272,"Ich will ein Deutschland in dem nicht 6 zionistische anti Menschheits ZIONISTEN Familien die gesamte Medienlandschaft kontrollieren und ich dafür noch zahlen muss! Der Muselmane, die Clans und Rocker als Feindbild zu präsentieren, reicht bei mir nicht der wahre Bösewicht regiert, sitzt im Bundestag, in Konzernen, in den Medien, lass mich doch nicht veräppeln von diesen zionistischen Clowns",2,0,ZDFheuteNachrichten,Germany
@dakarjakarta3782,"Man sollte zuerst das folgende Buch lesen, bevor hier so ein Unsinn verbreitet wird:

Ilan Pappe
Die ethnische Säuberung Palästinas",2,0,ZDFheuteNachrichten,Germany
@everydaylife5641,"Schön dass die Subjektivität des globalen Südens Erwähnung findet. 

Wann kommt ein Beitrag über die Doppelmoral des globalen Westens?",14,2,ZDFheuteNachrichten,Germany
@tatmehmet5789,Wer mit wem  solidarien  darf  Entscheidet  immer noch  USA  Eu Russland,0,0,ZDFheuteNachrichten,Germany
@habibplo1990,"Das hat nichts mit Solidarität zutun, sondern mit Menschlichkeit . Kriege zu fördern oder Freibriefe dafür zu geben ist falsch  vorallem sind Kinder die Leidtragenden .",1,2,ZDFheuteNachrichten,Germany
@fly9142,Es scheint so als würde der Westen seine Macht verlieren!!!,0,1,ZDFheuteNachrichten,Germany
@dienerGottes123,"Ukrainer kämpfen gegen Besatzer Russland = Freiheitskämpfer
Palastinänser kämpfen gegen Besatzer ""Israel"" = Terroristen????",0,0,ZDFheuteNachrichten,Germany
@Lola.4956,"Schaut euch die Liste an, das sind die wahren Terroristen auf dieser Welt. 

Bekämpf sie damit wir Frieden haben.",0,0,ZDFheuteNachrichten,Germany
@ErolSenturk-zt7bt,Nicht mit Palästina sondern Menschheit!! Alle sind Schuld und jetzt die UN. ZDF wie immer.,0,0,ZDFheuteNachrichten,Germany
@user-tz7mh5nr4l,"Jedes Land schaut auf sein Volk, nur Deutschland vertritt die Interessen der USA  und des Judenstaat. Siehe: Coronakrise, Ukraine Krieg, Gaza-Krieg ..usw.. es hat kein Ende.",0,3,ZDFheuteNachrichten,Germany
@n.girgin153,,1,0,ZDFheuteNachrichten,Germany
@arturtwardowski8065,"Nur ein Idiot, der keine Moslems kennt und keine Ahnung hat, kann auf der  Seite der Araber sein!",1,0,ZDFheuteNachrichten,Germany
@thesupporter4543,,1,0,ZDFheuteNachrichten,Germany
@ihsanamy8804,Ihr seit die Terroristen ihr zionisten hs,1,7,ZDFheuteNachrichten,Germany
@PrinzArianKosova,Seid wann ist New York welthaupstadt ? Wer hat das entschieden ? Wenn das so ist dann darf ja sicher die ganze Welt nach New York ohne iwelche Einreise erlaubnissen bzw. greencards und sonst was. Ein Versuch einen Sinn in einer Aussage zu stecken wo kein Sinn ist.,0,0,ZDFheuteNachrichten,Germany
@ihsanamy8804," @user-jz7jp4jl8w  ne achi wenn erst deinen mama ^^ Deutscher Pass klärt ,) triggert dich ne ? Nenn mich ab jetzt Papa",0,0,ZDFheuteNachrichten,Germany
@user-jz7jp4jl8w,"​ @ihsanamy8804 
Wirst an Israel ausgeliefert.",0,0,ZDFheuteNachrichten,Germany
@ihsanamy8804, @user-jz7jp4jl8w  klar digga :) bevor das passiert sind 50 Jahre wieder rum ^^...deutschen Pass verlieren und dann wohin?? Komm aus Kurdistan siehst di das auf ner karte ?? Digga 3 Generation deutsch elhamullilah ^^:),0,0,ZDFheuteNachrichten,Germany
@user-jz7jp4jl8w,"Wir suchen dir dan ein schönes land aus .
Westjordanland 
Ruanda 
Afghanistan 
Welches tor hätten sie den gerne.",0,0,ZDFheuteNachrichten,Germany
@user-jz7jp4jl8w,"​ @ihsanamy8804 
Den kann man auch wieder verlieren.",0,0,ZDFheuteNachrichten,Germany
@ihsanamy8804, @user-jz7jp4jl8w  deutscher Pass ;),0,0,ZDFheuteNachrichten,Germany
@user-jz7jp4jl8w,"Gehe in dein wunderschönes land zürück dort ist alles schön ,warum tust du dir das hier an.",0,0,ZDFheuteNachrichten,Germany
@user-jz7jp4jl8w,"​ @user-tz7mh5nr4l 
Ihr könnt reden was ihr wollt da geht nichts dazwischen. 
Ihr werdet niemals dazugehören. Islamisten unerwünscht ganz freundlich ausgedrückt. 
Der westen ist das maß der dinge wer dagegen kämpft verliert alles nur eine frage der zeit.",0,0,ZDFheuteNachrichten,Germany
@user-tz7mh5nr4l,"Was für Deutschland richtig ist, sollen Deutsche bestimmen. Weil es Deutsches Leben ist. Berlin soll unsere Hauptstadt sein und nicht Tel-Aviv, Kiev oder Washington. @user-jz7jp4jl8w ",0,0,ZDFheuteNachrichten,Germany
@user-jz7jp4jl8w,Wir machen genau das was wir für richtig halten und wenn dir das nicht paßt gibt es mehrere möglichkeiten zur ausreise .,0,0,ZDFheuteNachrichten,Germany
@user-jz7jp4jl8w,Es scheint so als wüdest du deinen Verstand verlieren.,0,0,ZDFheuteNachrichten,Germany
@habibplo1990," @user-jz7jp4jl8w  typisch Bild Zeitungs Leser ,sollen wir jetzt auch argumentieren , dass die Israelis sich auch so versteckt haben ? Lass dir Hirn wachsen ;)",1,0,ZDFheuteNachrichten,Germany
@user-jz7jp4jl8w,Ja weil ihr euch dahinter versteckt.,0,0,ZDFheuteNachrichten,Germany
@Fanboy1222,"​ @arturtwardowski8065 frag die Juden doch mal, was sie über Jesus denken. Und über das Christentum. Außerdem habt ihr diese Leute so ca. 100 mal aus euren Ländern gejagt. Unter muslimischer Herrschaft in Jerusalem haben die sehr friedlich gelebt",0,0,ZDFheuteNachrichten,Germany
@arturtwardowski8065,"Doppelmoral ist absolut legitim! ""Wir"" haben mit Arabern/Moslems nichts zu tun, dafür verbindet ""uns"" mit Juden viel mehr. Es gibt also keinen Grund unparteiisch zu sein...",0,0,ZDFheuteNachrichten,Germany
@lebenlieben7503,"So schmerzhaft auch immer den Tot eines Menschen, egal wo, egal wie und egal warum, ist, eins haben die Menschen Seit 07.10.2023 verstanden, nämlich die verlogene Heiligenschein um westliche Demokratie",0,0,ZDFheuteNachrichten,Germany
@markhamburger5587,"Die Situation ist ziemlich einfach: 1. Die UNO ist eine nutzlose Verschwendung von Steuergeldern - undemokratisch, weil die meisten Mitgliedsstaaten keine Demokratien sind 2. den ""Globalen Süden"" gibt es nicht.Jedes der Länder der 3. Welt hat seine Eigeninteressen. Nur wenn man dem Abstimmungsverhalten in der UNO irgendeine Bedeutung beimisst, könnte man zu irgendwelchen fehlgeleiteten Schlüssen kommen. 3. zwischen Israel und dem Gaza-Streifen herrscht Krieg - ein Vernichtungskrieg, den die Hamas angezettelt hat. Israel will die Hamas vernichten, die Hamas will ganz Israel vernichten. Israel wird diesen Krieg erst beenden, wenn die Hamas so dezimiert ist, dass sie keine ähnlichen Aktionen mehr starten kann und wenn sie im Gaza-Streifen nicht mehr an der Macht ist. 4. der ""Westen"" muss sich darüber im Klaren sein dass er nicht unbeteiligt bleiben kann, kein ""Mahner"" sein kann, und unbedingt auf Seiten Israels die Zivilisation verteidigen muss. Wer denkt dies wären die Olympischen Spiele, wo alle Nationen Sportler hinschicken, die dann miteinander wettstreiten, der ist schief gewickelt.Hier stehen die Barbaren vor den Toren Roms, hier schicken sich die Mongolen an Bagdad einzunehmen. Hier wird Brutalität zum Game-changer. Wenn der ""Westen"" sich von Brutalität und Barbarei in die Knie zwingen lässt, dann ist er selbst schuld an seinem Untergang.",0,0,ZDFheuteNachrichten,Germany
@hotoderschrott5310,"Russland Kommunisten, China Kommunisten und Iran Faschisten, machen Bündnis. Die Menschen auf diesem Planeten sind dermaßen dumm. Erkennen gar nichts. Leben in demokratischen Ländern und Protestieren für Faschisten. Herzliche Nachrichten. Das wird was.",0,0,ZDFheuteNachrichten,Germany
