author,comment,voteCount,replyCount,channel,country
@jamelhayani2859,100 soldats tués  de l’autre côté 20000 palestiniens morts ! Quel enfer pour les palestiniens depuis 60 ans ! Peuple courageux,0,0,FRANCE24,France
@h237officiel3,"Des soldats ne sont pas tués... Ils tombent...
La propagande occidentale qui veut nous faire croire à la victimisation de l'agresseur",0,0,FRANCE24,France
@MrPropre536,Net et propre ,1,0,FRANCE24,France
@karimben8234,45 soldats isrealien  neutralisé en 48h l'info es tombé hier.,1,0,FRANCE24,France
@bencherifbencherif579,Vous êtes des monteurs ya plus personne qui vous convient sauf vos clients  liberté de la presse  hipochrite  le monde ne vous croient pashahahaha,1,0,FRANCE24,France
@user-gi2wk3go2g,C’est impossible de vivre dans des tentes Il y a des bâtiments intactes où tout est détruit ?,0,0,FRANCE24,France
@kimlinhares3634,"Je suis dégoûtée de voir que les pays Arabes rois du pétrole, ou autres non pas de cuilles pour affronter Israël et les faire respecter les Palestiniens et pays au tour d'Israël ... 
    Israël fait ce qu'il veut et ne respecte rien, n'y personne n'y pays !
     Israël Dieu du monde ...",2,0,FRANCE24,France
@dombarh8416,115 c'est pas suffisant,0,0,FRANCE24,France
@hamidousowfria6042,,0,0,FRANCE24,France
@moueddebanis9532,soutien au palestinien,1,0,FRANCE24,France
@kismanisator,115 veux dire 1150,0,0,FRANCE24,France
@kismanisator,115 veux dire 1150,0,0,FRANCE24,France
@qaudit1612,pas o.n.u,0,0,FRANCE24,France
@mantisnamo5851,Ils ne font pas le poids face aux palestiniens aguerris expérimentés,0,0,FRANCE24,France
@adamamevor9492,qui ose s'attaquer à Israël ne récoltera que souffrance et désolation ,0,0,FRANCE24,France
@BabasadouOuedraogo,Depuis l'existence du monde les américains et les occidentaux n'ont jamais imaginé d'apporter la paix mais in cha allahou ils payeront ce qu'ils fait à l'humanité,0,0,FRANCE24,France
@user-jw3bq9pb3u,Veto usa,0,0,FRANCE24,France
@sebastienrichard7329,les terre israélien vont trembler pour le mal et la destruction qu'il font au peuple  de gaza au peuple de  gaza  je suis énervé  de voire au temps mort a gaza,0,0,FRANCE24,France
@danubebleu.9430,"Tsahal donne à peine un
Chiffre de 20% des soldats
Tués au combat.",0,0,FRANCE24,France
@jaz-shopofficielbyhedijazi3602,Pourquoi les médias français vous mentez. Ya des milliers mort du Tsahal et plus dix mille blessés. 700 véhicules touchés ou détruits.,0,0,FRANCE24,France
@emiliecholie2272,"Le seul peuple à ne pas pouvoir fuir les combats bloqués dans l'enclave, même les Ukrainiens ont pu se sauver en Europe, c'est  honteux que nul ne leur donne une issue de secours",1,0,FRANCE24,France
@jackP330,"Connaissant la transparence de toutes les armées concernant leur pertes, on peut considérer qu'ils ont perdu au moins le double",1,0,FRANCE24,France
@jeffgo6470,"Ca ne me fait plus rien.
Effet boomerang c'est tout.",0,0,FRANCE24,France
@mathieugladieux4864,Pourquoi les pays arabes ont il peur d israel  ?,0,0,FRANCE24,France
@Worldvisionkoniak, 115 soldats Israël sont mort ces très peu par rapport aux civils palestinien tué,0,0,FRANCE24,France
@Worldvisionkoniak,Si le hamas avait des armes comme Israël aujourd'hui ne serait pas arrivé...,0,0,FRANCE24,France
@Worldvisionkoniak,Que du bonheur d'entendre cette nouvelle mancha allah ...bon continuation hamas ❤,0,0,FRANCE24,France
@lxrn,"Les palestiniens vont encore une fois payer cher, le prix de leur faiblesse qui résulte de l'environnement culturel où ils vivent. Gaza était un cadeau qu'avait fait Israël pour les palestiniens. Ils se sont tout d'abord entre-tués et maintenant ils vont perdre Gaza. Les palestiniens ont encore une fois prouvé aux israéliens que le vivre ensemble est impossible  Donc exit de la solution à deux états. La guerre qui se joue à Gaza est au fond une guerre à procuration entre les États-Unis et la Russie.  Ils sont les dindons de la farce.",0,0,FRANCE24,France
@jijel1893,Je pense que les chiffres donnés par le porte parole de l armée d occupation est à multiplier par  aumoins par 4.,1,1,FRANCE24,France
@user-mm3qc7dm8t,J espère que les criminelle de guerre israélien seront jugés par la cpi et pour la symbolique qu ils le soient à Nuremberg. Quans on tue des civils et ses propres otages porteur de drapeau blanc on est dans le crimes de guerre,0,0,FRANCE24,France
@user-vo1iu6qs5f,En réalité  israel a perdu au moins 2500 hommes,0,0,FRANCE24,France
@azizsaber9863,Répandre les faits sans falsification. Quelle farce dans les médias occidentaux devenus dépourvus de liberté d'expression.,0,0,FRANCE24,France
@lyonnaislyonnaisstaifi8747,L’es perte dont beaucoup plus important arrêter de mentir,0,0,FRANCE24,France
@hannibalbarca2552,"Respect aux palestiniens ! Le peuple, le plus digne et courageux du monde ! Ils le prouve actuellement !.☮️",0,1,FRANCE24,France
