author,comment,voteCount,replyCount,channel,country
@Masonicon,Even Jews can see Zionist Israel as ISIS,2,0,TRT Word,Turkey
@paulpeter-po5rd,"Keep mouthing off while your daddy America supports you, but the question is, what will you synagogue of satan devil worshipper occupiers do when your daddy America is no longer an empire, don't forget no empire lasts forever.  So, take your stupid mouth and shut the door behind you.",0,0,TRT Word,Turkey
@paulpeter-po5rd,The Real Jews you mean.,0,0,TRT Word,Turkey
@paulpeter-po5rd,"In The Name Of ALLAH the Most Merciful.
Boycott is what we can all do, first make dua then boycott everything israil ownes and everyone that supports them, including all, company's, products, servives, food, drinks, clothing and footwear PERMANENTLY,  buy umma owned and produced products and services. Tell this to everyone because this is how we will do our job.  Copy and paste this comment if you want
I ask ALLAH to except this from me.",0,0,TRT Word,Turkey
@paulpeter-po5rd,Thats called hijacking the term exclusively and specifically for themselves.,0,0,TRT Word,Turkey
@brankojapanac4138,Why wearing the mask?,1,1,TRT Word,Turkey
@jamiah_alias1651,Thank you for knowing the truth...,1,0,TRT Word,Turkey
@user-ic3dh9uy9z,This is a real Jew. Jewish Christian and Muslims are people of the book. Zionist are evil,0,0,TRT Word,Turkey
@BadBunnyBaller,"The world is waking up! Zionism is a racist, extremist ideology.",0,0,TRT Word,Turkey
@stephanmoris2515,"thank you so much for your honesty and integrity , your compassion means a lot , one humanity united against hate , segregation and racism",12,0,TRT Word,Turkey
@MM-cn6sz,♥♥♥♥♥,0,0,TRT Word,Turkey
@kiwiwandering5358,Well said young man. Peace be with you.,16,1,TRT Word,Turkey
@user-uv9tl4jt8w,"The Palestinians have abused Western compassion and used Western donations to raise a radical generation. This money should be used to help Somalia, Sudan, and South Sudan. Palestinians living in the West remain unwilling to reconcile, so firm support for Israel and its military operations is important to safeguarding Western values.",2,3,TRT Word,Turkey
@user-jn9td8rw1u,"Why don't you S T F U   you traitor...
Have you even been to ISRAEL  ?
You a nerd looking for some attention...",0,0,TRT Word,Turkey
@luctors,Thank you for your courage and honesty.. I know that one day you'll be a leader and guide US to the right path of humanity.,2,0,TRT Word,Turkey
@rubis7142,In israel no one say stop killing children they just say bring them home no one person say stop this massacre so they are all with the genocide of gaza,0,1,TRT Word,Turkey
@SuperDarkBlackSanta,This kid is a typical young and stupid 2023 vintage.,0,0,TRT Word,Turkey
@fatimasajid1546,"it's being human to stand with the Palestinians, Thank you for upholding the truth",9,1,TRT Word,Turkey
@hp323,The evil circular Zionist are taking advantage of what happened to the true Jewish people for their own evil purposes!,0,0,TRT Word,Turkey
@tanweerqureshi220,"Being a good human, this young boy said it all truthfully. May Allah bless him",9,0,TRT Word,Turkey
@madworld6801,These are true jews of the Torah,0,0,TRT Word,Turkey
@tanweerqureshi220,You don't need to be a Muslim to condemn Gaza genocide. You just have to be a human being,16,2,TRT Word,Turkey
@retrofedora7061,This man speaks the truth. Funny that most of the isroeli itself is not even semite. & the ironi is zionism itself is antisemite. Respect for these people & may god protect them.,5,0,TRT Word,Turkey
@ahmengtan6139,"Hamas don't want to stop attacking, how israel to protect their citizen?",0,3,TRT Word,Turkey
@bubbaclean9441,potatoes...,0,0,TRT Word,Turkey
@paulpeter-po5rd," @ahmengtan6139  What is israhell, That whole place is Palestine, and belongs to the Palestinians.
The fake jews don't belong there anyway, the Torah has told them not to return to Palestine because of their evil and wickedness,  thats why the Real Jews won't return to Palestine and protest along side the Palestine supporters against the evil zionists occupiers.   So, stop trying to decieve the people.",0,0,TRT Word,Turkey
@ahmengtan6139," @kevindonaghey8483  2005 Israel fully withdrawn from gaza, what do you mean occupation? After israel withdrawn there are still rocket firing from Gaza, suicide bomber from Gaza, palestine never want to peace with non Muslim country like Israel, that is the problem.",0,0,TRT Word,Turkey
@kevindonaghey8483,Try not occupation of someone else's country,3,0,TRT Word,Turkey
@TmanRock9,But there is no genocide occurring in Gaza. You don’t need to be a genius to realize this you just need to be able to read.,0,0,TRT Word,Turkey
@paulpeter-po5rd,Absolutely true.,1,0,TRT Word,Turkey
@dragondragonita9964,those who do not stand are aliens?,0,0,TRT Word,Turkey
@paulpeter-po5rd,"In The Name Of ALLAH the Most Merciful.
Boycott is what we can all do, first make dua then boycott everything israil ownes and everyone that supports them, including all, company's, products, servives, food, drinks, clothing and footwear PERMANENTLY,  buy umma owned and produced products and services. Tell this to everyone because this is how we will do our job.  Copy and paste this comment if you want
I ask ALLAH to except this from me.",0,0,TRT Word,Turkey
@helloworld441,Noone is falling for israels pathetic propaganda mate keep trying though,0,0,TRT Word,Turkey
@paulpeter-po5rd,"What are you on fool? western values in the east?  your an idiot.  Palestine is the Palestinians land not the synagogue of satan devil worshipper occupiers.  And for your information, most are atheist.  So, you are one of the foolish idiots that support the synagogue of satan occupiers. Sit down idiot.",0,0,TRT Word,Turkey
@MegaEgipcia,"Los ""valores occidentales""  serán el colonialismo, el genocidio, el infanticidio y el apartheid...",0,0,TRT Word,Turkey
@paulpeter-po5rd,Agree,0,0,TRT Word,Turkey
@paulpeter-po5rd,What difference does it make?,0,0,TRT Word,Turkey
@Sarah23298,"I stand with Humanity 
Free Palestine",22,0,TRT Word,Turkey
@mangobrother,Wow.  A Jewish person who knows their history.  What he said about Herzl is correct.  Zionists are anti-Judaism.  That is the irony of Israel.  Respect to this young man for not drinking from the Kool-Aid.  A free thinker in action.,0,0,TRT Word,Turkey
@lymint9587,"Semites actually include Arabs and Jews etc. Because the speak ""Semitic languages"".",2,0,TRT Word,Turkey
