author,comment,voteCount,replyCount,channel,country
@MonicaGabor5,Was die Israelis in Qusra machen ist unglaublich in human und brutal von Seiten der Israelis .Wenn die Israelis immer so die Palästinenser behandeln sollen sie sich nicht wundern das sowas wie die Hamas entstehen kann.,1,0,ZDFheuteNachrichten,Germany
@MonicaGabor5,"Was die Filmemacherin erzählt hat das sie die Palästinenser wie Freunde gesehen haben die bei den Israelis Handwerksarbeiten etc gemacht ist wohl übertrieben .
Schließlich sind die Palästinenser abhängig von dem guten Willen Israelis und die Palästinenser müssen sich immer demütig unterordnen wenn sie irgendwas wollen Arbeit oder so .
Die Israelis sind definitiv im Vorteil schon allein dadurch das sie viel mehr Möglichkeiten haben für eine gute Lebensqualität  als die meisten Palästinenser. Ich finde diese Filmemacherin nicht ehrlich über die Situation zwischen Palästinenser und Israelis.",1,0,ZDFheuteNachrichten,Germany
@125dhx,"Terror Statt Israel und Hamas Geiseln Austausch.
Israel ist ein Terror Statt, Besatzung ist Terror.
Israel Kinder Mörder",1,1,ZDFheuteNachrichten,Germany
@selleluca,Fragt euch mal warum die meisten Freies Palästina rufen! (?),1,0,ZDFheuteNachrichten,Germany
@bora773,"Für solche Beiträge zahlen wir alle gerne GEZ! Endlich mal nicht nur der wohl gemeinte Pro-Israelische Einheitsbrei sondern eine ausgewogene Reportage. Hut ab, so geht Journalismus!",0,0,ZDFheuteNachrichten,Germany
@ilhami9,"meiiiiiiiiiiiiiiiii,die kleinsten bedroht,angst haben sie,palistinensische kinder fühlen sich nicht bedroht und haben keine angst weil sie tod sind!",0,0,ZDFheuteNachrichten,Germany
@user-pu4ct4hb9g,Amk,0,0,ZDFheuteNachrichten,Germany
@Elvir9111993,.      .   .      .      Amin ,1,0,ZDFheuteNachrichten,Germany
@jonasandayabed1685,,1,0,ZDFheuteNachrichten,Germany
@ursulauli8427,"Das ist Propaganda von Israelis. Die halten über 6000 Gefangene, unter ihnen viele Kinder, Jugendliche und Frauen. Leider gibt es keine Demokratie in Israel, denn die Journalisten dürfen keinen interwieven. Fürchterlich, was aus dieser Welt geworden ist.",1,0,ZDFheuteNachrichten,Germany
@jenson1896,Lern erstmal deutsch!,1,0,ZDFheuteNachrichten,Germany
@jenson1896,Nein,1,0,ZDFheuteNachrichten,Germany
@azre7768,Du weisst garnichts,0,0,ZDFheuteNachrichten,Germany
@skippy2577,Du weißt hoffentlich schon das in Westjordanland Morde und Vertreibungen an friedlichen Palästinenser stattfindet? ,0,0,ZDFheuteNachrichten,Germany
@azre7768,Echte Männer die Frauen und Kinder abschlachten.. krasse Männer..,3,0,ZDFheuteNachrichten,Germany
@HamideKorca-gn1oj,"Merkt ihr den nicht das diesen Tag am 7.10.23 selber Natanyahu das organisiert hat?! 
Warum gab an diesem Tag keine Soldaten oder Kameras vor Ort?
Kein Alarm?
Nichts gab es an dem Tag!!!
Israel ist mit Hamas in Zusammenarbeit ☝",1,0,ZDFheuteNachrichten,Germany
@hurter823,Das zdf ist doch eine Brutstätte der Hamas,0,0,ZDFheuteNachrichten,Germany
