author,comment,voteCount,replyCount,channel,country
@Bono-ci5nk,"Pas encore assez  , bonne fin d'année les israélites , que votre dieu vous bénisse  .",1,0,FRANCE 24,France
@user-ix9mw4yy8o,"Netanyahu chef du peuple elu a un vocabulaire reduit ""elimination""",1,0,FRANCE 24,France
@casimirgloubi-boulga9055,On croit mourir pour la patrie ; on meurt pour des industriels.,0,0,FRANCE 24,France
@saafo7758,Des colons et certainement pas des militaires dhomme a homme ils se font massacré gloire a la résistance palestinienne,0,0,FRANCE 24,France
@naanony117,Ukrainien kujac a 27 ans sioniste colon volontaire !! Demande nétanyahu une jambe de remplacement !!:face-purple-crying::person-turqouise-waving:,0,0,FRANCE 24,France
@user-lp3uz6pk8r,"Et que dire des 20000 Palestiniens tués. 
1poids 2 mesures.",2,0,FRANCE 24,France
@bonbonsetchocolat292,"Avec sa tête d’européen, ce soldat doit rentrer chez lui en Europe, les autochtones sont les palestiniens et la terre leur appartient",1,0,FRANCE 24,France
@tesilimunadejare1218,"Je suis trea content qu'il ai perdu sa jambe, je souhaite cela aussi pour sa famille et ses enfants. Pourqu'il sente aussi la douleur des gazaoui ",5,0,FRANCE 24,France
@babnd2762,"Qui Dit Colonisation Dit Indépendance !
Qui Dit Occupation, Dit Résistance !
#Résistance c'est la Voix de l'Existence ! quel honte d'être blessé en se battant pour maintenir l'injustice qui touche les Palestiniens",0,0,FRANCE 24,France
@Mugen13trd2,Quil reste en Israël les français partir ce battre ont les. Veux plus en France mdr,0,0,FRANCE 24,France
@FikreBlet-oj9vc,ሁሉም በጣም ያሳዝናል,0,0,FRANCE 24,France
@FikreBlet-oj9vc,Tout cela est très triste,0,0,FRANCE 24,France
@Robotchinois19999,La réalité ccest éviter là prison ,1,0,FRANCE 24,France
@Mthang7,On doit pleurer ?,2,1,FRANCE 24,France
@belkacemaliouane3973,Beaucoup de palestiniens  sont morts eux n'ont pas de chance.,0,0,FRANCE 24,France
@manal9348,Pourquoi parle-t-il ukrainien ? Il a un drapeau ukrainien derrière lui ,0,0,FRANCE 24,France
@user-zn5gr3ft7g,Au moins vous avez les moyens de vous soigner,0,0,FRANCE 24,France
@balanciergu4360,C'est un honte que l'ONU avait en effet finance Hamas !,0,0,FRANCE 24,France
@Delta0909,Non plutôt rigoler,2,0,FRANCE 24,France
@nourmild9604,"11000 soldats blesses et 3000 morts, c est un soldat israelien qui donne cette vraie estimation",1,0,FRANCE 24,France
@felixmora665,"Bon vous allez aussi interviewer des représentants des palestiniens je suppose. Le lot des soldats c’est de mourir ou être blessés, ce n’est pas celui des civils.",1,0,FRANCE 24,France
@cemiltunca19,le chiffre réel c'est plus de 5000 bléssés (devenus aveugle ou alors perte d'un ou plusieurs membres),2,0,FRANCE 24,France
@MA-mj5zk,,1,0,FRANCE 24,France
@abelange9610,C'est normal sont fils à nethanyou es planqué Au Etats Unis,0,0,FRANCE 24,France
@namatraore9844,Pourquoi Israël donne le sifre des blessés il doit donc le sifre des soldats tué dans par hamas !!,0,0,FRANCE 24,France
@badrameslem172,Et le côté Palestiniens ? Combien de morts de mutilés. D innocents non armes.Israel est une armée qui sans l appui de l'Amérique ne serait rien ni matériellement ni humainement. Donner des armes aux Palestiniens et vous verrez. Bande de rigolos !,0,0,FRANCE 24,France
@raedsebaa7620,"Plus de 700 véhicules blindés détruits (Merkava, Namer et Caterpillar D9). Gaza est aussi devenu une immense casse de matériels militaires israéliens. Plus de 11000 blessés et entre 4500 et 5000 morts du côté de la soldatesque sioniste. Ce n'est évidemment pas sur France 24 que l'on apprendra ça.",0,0,FRANCE 24,France
@faloudjien,"Des soldats et non des civiles donc il n'y a rien de surprenant, c'est une guerre",0,0,FRANCE 24,France
@nokasa2830,"La guerre   c'est comme la chasse
Sauf  que les lapins  tirent  aussi",3,1,FRANCE 24,France
@salimsalim-wq9zy,"Tuer par erreur ? Ouais, apparemment, apparemment, ouais, bizarre de tuer par erreur , trois personnes désarmer , torse nue, portant drapeau blanc , parlant la mème langue que leurs tueurs ? Bizarre",0,0,FRANCE 24,France
@amelrabbouch8827,"que dire des blessés palestiniens .. des enfants amputés , démembrés, déchiquetés .. les restes sonrt mis dans des sacs et entérés sans nom, + 20000 morts et 7000 disparus à part les 60000 de blessés .. la Palestine doit être libéré",0,0,FRANCE 24,France
@user-rr2km8iy5f,"Benyamin Netanyahou, au lieu de cesser le feu il préfère envoyer des jeunes comme des chairs à canons , et ce n'est pas fini  , il y aura encore plus de morts tant que le peuple Israélien ne l'arrête pas.",0,0,FRANCE 24,France
@myriamrose8702,C est indécent ces vidéos combien de palestiniens sont morts sans  vouloir aller faire la guerre combien d enfants sont morts ?? comblen de vieillards sont morts??? ,1,0,FRANCE 24,France
@mehrinebibi4968,Hahahaha volontaire,1,0,FRANCE 24,France
@mehrinebibi4968,Keep dreaming nethanyahu,0,0,FRANCE 24,France
@SamirBenbouchta-iy6ln,✌✌✌,1,0,FRANCE 24,France
@gator8260,"Deux poids deux mesures, et du côté de la Palestine ça ne vous intéresse pas ",12,1,FRANCE 24,France
@user-nm8pr8vy7f,Meyer habib au front sur le terrain a Gaza il doit l exemple,5,0,FRANCE 24,France
@user-lp3uz6pk8r,Soutiens inconditionnel au peuple Palestiniens.,101,5,FRANCE 24,France
@synooptic5475,"Allez jusqu'au bout oui, vous êtes tombé dans un piège à cause de votre orgueil et le monde vous déteste encore plus maintenant.",0,0,FRANCE 24,France
@user-ik9ib4sf8v,"​ @patrickvalois2077 Edward W. Saïd (professeur de littérature à l'Université de Columbia - E. U.), à l'occasion d'un voyage en Cisjordanie, note, par exemple, que : « presque toutes les voies, toutes les voies de contournement et tous les petits villages où nous sommes passés ont été le théâtre d'une tragédie quotidienne : terre confisquée, champs saccagés, arbres et plantes déracinés, moissons arrachées, maisons détruites » exactions contre lesquelles les propriétaires Palestiniens sont totalement impuissants.»",1,0,FRANCE 24,France
@user-ik9ib4sf8v,​ @patrickvalois2077 jusqu'au bout en assassinant des enfants . Revenez chez vous en Europe .vous n'etes pas les bienvenu au moyen orient er personne  ne veut de vous . Faite votre valise et degagez,0,0,FRANCE 24,France
@patrickvalois2077,Un soutien de blaireau,0,0,FRANCE 24,France
@patrickvalois2077,Soutien complet à TSAHAL...Qui ira jusqu'au bout...,2,0,FRANCE 24,France
@MimiMimi-yz7fx,Ben non ils font pas partie du peuple élu,0,0,FRANCE 24,France
@cerveau6663,"
Ce matin un lapin à tiré sur un chasseur. 
Je l'as connaissais pas. Trop fort.",0,0,FRANCE 24,France
@user-sq1iw4ws3e,Hey fr 24 invitez David Wise sur vos plateaux !!!!!!,0,0,FRANCE 24,France
@djamelbelaid7058,Il semble que Bibi et les généraux aient sous estimés la capacité  des Gazaouis à  se défendre  contre l'armée d'occupation. Ces pertes israéliennes risquent d'avoir des conséquences importantes dans l'opinion publique israélienne.,73,11,FRANCE 24,France
@marcarony2838,ché,1,0,FRANCE 24,France
@user-tsxkesg4zts,Combien de palestiniens ont perdu leurs jambes ( dont de nombreux enfants) a cause des bombardements où des tirs de snipers.,42,1,FRANCE 24,France
@xeena01,Et le chiffre  des palestiniens  mort vous etes que baisse ces tout soyez  heureux  que vous êtes toujours la,0,0,FRANCE 24,France
@N.A.M1234,Mais peut être certain auront retiré de leçon ce des jeunes qui avait de l' avenir devant eux avec une très belle vie mais dommage a eux  plus de 70 jour de combat parmi les meilleurs armes aux mondes tout ce histoire ce Hamas qui l as mis dans un parenthèse dommage pour ces innocents qui meurt ou qui perd une partie de leur corps pour sans raison,0,0,FRANCE 24,France
@lena-ki2vs,"Non mais
.... c'est une guerre et dans une guerre il y a des morts et des blessés...!",0,0,FRANCE 24,France
@user-ce3gh3pr9z,Bien joué,3,0,FRANCE 24,France
