author,comment,voteCount,replyCount,channel,country
@youssefbagheri8819,Hahaha,0,0,FRANCE24,France
@ahmedazzouz7839,Parler aussi des otages civils Palestiniens assassinés par l'armée israélienne sans morale ,0,0,FRANCE24,France
@timtim5933,Israel must stop this barbaric war,0,0,FRANCE24,France
@ParoledEternite,"La guerre contre le terrorisme ne se gagne pas en quelques jours de combats. C'est inutile de perdre la vie des otages et des jeunes soldats, en plus des civiles palestiniens pour une bataille perdue d'avance. Il faut qu'Israël commence tout d'abord à libérer les otages et puis en deuxième étape à lutter contre le terrorisme et la violence. On ne peut pas éteindre un incendie avec du kerosene. Voilà pourquoi on a assassiné Yitzhak Rabin. Oui avec l'Amour tout est possible mais avec la haine la vie n'est plus possible.",0,0,FRANCE24,France
@user-qu8gv6mj6h,"Les soldats sacrifiés par Netanyahou qui est le véritable chef du Hamas, franchement il faut être naïf pour ne peut le comprendre ! Donnez moi une seule raison pour que le Hamas qui n' a rien à perdre libère les prisonniers alors que conscient de la continuité des bombardements sur Gaza.  Le Hamas a fait son devoir "" sauver Netanyahou qui  sentait la foudre de la population israélienne, en contrepartie Netanyahou joue sa comédie à faire croire au monde entier et surtout à son peuple et à  ses alliés qu'il lutte contre l'organisation terroriste qu'il finance dans l'ombre via le Qatar.   Pas une seule fois le gouvernement israélien a menacé le Qatar bastion des groupes terroriste. Nous vivons une comédie qui coûte des vies humaines palestiniennes et israéliennes. J'ai dit !",0,0,FRANCE24,France
@user-xz5do2xm7w,Les Usa complices n ont rien a dire. Le soutien inconditionnel a l etat sioniste est la cause de toute cette souffrance.,0,0,FRANCE24,France
@user-mt7kh1zf6k,Mais es ce qu'ils sont  chez eux,0,0,FRANCE24,France
@dona3793,"La blague ! ""pour que le habitants de gaza se sentent en securite avec la presence militaire Israelienne "" mais QUI VEUT BIEN CROIRE CE MENSONGE ? Ils viennent d'assassiner leurs enfants, femmes, enfants, oncles , tantes , grand-meres, grand-peres. Ce n'est pas a Israel de decider de qui va diriger en Palestine , pourquoi ? de quel droits ?",0,0,FRANCE24,France
@mohamedghribi3679,"115 ?
c'est tout ?",0,0,FRANCE24,France
@victorlionelnazaire685,"Chiffres officiels de Netanyahu !  Probablement beaucoup plus de soldats de Tsahal tues et blesses graves , officieusement .",0,0,FRANCE24,France
